epoch,g_loss,d_loss,ber,psnr,duration
1,16.1292,0.0000,0.3952,18.9041,3612
2,13.4258,0.0000,0.3166,20.8505,3609
3,10.9639,0.0000,0.2647,27.0890,3610
4,9.3423,0.0000,0.2265,28.9115,3609
5,8.3218,0.0000,0.2086,29.3832,3607
6,7.6998,0.0000,0.1981,29.9303,3609
7,6.9764,0.0000,0.1632,27.6762,2194
8,6.5631,0.0000,0.1479,24.0973,2192
9,6.4594,0.0000,0.1488,22.5570,2192
10,6.4030,0.0000,0.1495,21.8395,2194
11,6.3384,0.0000,0.1473,21.3042,2192
12,6.0531,0.0000,0.1380,20.9093,2192
13,5.9834,0.0000,0.1374,20.8920,2193
14,5.8810,0.0000,0.1369,21.0139,2192
15,5.8538,0.0000,0.1368,21.0791,2192
16,2.7240,-31.0962,0.1486,27.1522,10023
17,2.6891,-136.8368,0.1473,27.6973,10020
18,2.6749,-270.0524,0.1449,28.1943,10020
19,2.6624,-411.1063,0.1423,28.6080,10020
20,2.6592,-594.5448,0.1410,28.2931,10019
21,2.6917,-765.8883,0.1402,28.6569,10027
22,2.6913,-743.3101,0.1394,27.7078,10027
23,2.7045,-856.6410,0.1389,28.7526,10019
24,2.8176,-1413.1984,0.1372,29.0164,10020
25,2.8994,-1758.9072,0.1317,28.5937,10018
26,2.5269,-1881.9732,0.1315,29.2086,10020
27,2.6189,-2385.4894,0.1306,28.5008,10020
28,2.8094,-3165.3553,0.1301,29.3572,10019
29,2.8199,-1094.1622,0.1298,28.0015,10020
30,2.9113,-2861.3688,0.1295,28.7128,10026
31,1.7454,-2199.1587,0.1334,25.8569,10028
32,1.8068,-3259.4400,0.1292,30.8265,10022
33,1.6384,-10.4539,0.1305,27.6979,10022
34,1.5040,-27.8169,0.1444,20.9956,10021
35,1.8920,-3024.4960,0.1303,29.4187,10020
36,2.0045,-1308.4950,0.1291,28.6769,10019
37,1.8952,-19.6206,0.1346,24.4420,10021
38,2.0094,-152.9278,0.1296,26.7714,10019
39,2.0687,-2968.9886,0.1276,27.5921,10023
40,2.0831,-410.3270,0.1284,25.5688,10019
41,2.1948,-5120.7068,0.1262,26.8694,10018
42,2.1893,-2092.5614,0.1284,23.9554,10022
43,2.2512,33.3481,0.1269,26.2869,10023
44,2.2032,-747.7087,0.1269,27.2085,10024
45,2.2698,626.9539,0.1283,25.0686,10024
46,2.2665,789.8751,0.1269,26.0201,10024
47,2.3015,213.9570,0.1261,26.3295,10018
48,2.2519,161.0366,0.1262,27.7688,10019
49,2.1828,-793.5266,0.1261,25.6789,10017
50,2.3106,-4034.6983,0.1253,24.9837,10021
51,2.1879,104.8849,0.1366,36.7035,10005
52,2.0877,30.3868,0.1361,38.4108,10011
53,2.2432,-12.0807,0.1280,36.5229,10007
54,2.1010,-46.8825,0.1283,37.1338,10004
55,2.0790,-35.3320,0.1281,37.3380,10009
56,2.0896,-35.0395,0.1280,37.5300,10006
57,2.0783,-30.3066,0.1286,37.7662,10005
58,2.0565,-22.9841,0.1296,38.2089,10007
